NER,ingredients,directions
"['beef flank', 'onion', 'olive oil', 'vinegar', 'oregano', 'salt', 'tomatoes', 'onion', 'serrano chilies', 'avocados:']","['1 1/2 lb. shrimp, cooked and cut into 1-inch cubes', '1/4 c. flour', '1 Tbsp. Worcestershire sauce', '1/4 c. butter', '1 Tbsp. chopped green onion', '1 Tbsp. hot sauce', '1/2 tsp. salt', '1 clove garlic, minced']","['Combine first 5 ingredients in a saucepan.', 'Bring to a boil and cook for 3 minutes.', 'Remove from heat and stir in the onion and garlic.', 'Cool to room temperature.', 'Combine the sour cream, cottage cheese, lemon juice and salt.', 'Stir into the corn mixture.', 'Cover and chill for several hours.', 'Serve with chips or crackers.']"
"['mango', 'salt', 'brown sugar', 'cider vinegar:']","['1 1/2 lb. fresh or frozen potatoes', '1/2 c. oil', '1 Tbsp. confectioners sugar', '1 tsp. salt']","['Cut potatoes in half lengthwise.', 'Cut into 1/2-inch slices.', 'Place in a shallow baking dish.', 'Combine brown sugar, cornstarch, salt and pepper.', 'Sprinkle over potatoes.', 'Bake at 350° for 30 minutes.', 'Sprinkle with Parmesan cheese.', 'Bake 5 minutes longer.']"
"['graham cracker crumbs', 'sugar', 'almonds', 'cinnamon', 'butter:']","['1 1/2 lb. fresh or frozen fish fillets', '1 c. flour', '1/2 c. oil', '1 tsp. grated lemon peel', '1/2 c. grated Cheddar cheese']","['Preheat oven to 350°.', 'Coat a baking sheet with cooking spray.', 'In a large bowl, combine the first five ingredients.', 'Stir in the cracker crumbs.', 'Spread the mixture on the bottom of the prepared pan.', 'Sprinkle the crumbs over the crust.', 'Bake for 15 minutes.', 'Cool and cut into squares.']"
"['ricotta cheese', 'ricotta cheese', 'fresh oregano', 'fresh basil', 'eggs', 'spaghetti sauce', 'water', 'vegetable protein', 'garlic', 'olive oil', 'onion', 'mixed mushrooms', 'swiss chard', 'pasta', 'mozzarella cheese', 'mozzarella cheese', 'parmesan cheese', 'salt', 'ground pepper:']","['1 lb lean ground beef', '1 tablespoon flour', '2 eggs', '1 tablespoon olive oil', '1 tablespoon chopped fresh parsley', '1 tablespoon tomato paste', '1 tablespoon vegetable oil', '1 tablespoon chopped garlic', '1 cup shredded mozzarella cheese', '1 cup milk', '1 cup creamy salad dressing', '1 cup chopped roma tomatoes', '1 cup chopped red onion', '1 cup chopped green onion', '1 cup crumbled feta cheese', '1 tablespoon chopped fresh basil', 'salt and pepper to taste']","['Preheat oven to 350 degrees F (175 degrees C).', 'In a large bowl, combine the ground beef, eggs, Parmesan cheese, milk, garlic, basil, oregano, and pepper. Mix well. Stir in the milk, and season with salt and pepper. Set aside.', 'In a large skillet, heat the oil and brown the ground beef. Stir in the ground beef and cook until browned. Drain and set aside.', 'In a large skillet, cook the ground beef, cooking until browned and crumbly, about 5 minutes. Drain and set aside.', 'Place the pasta and sauce in a medium saucepan and ']"
"['bacon', 'cream cheese', 'spread', 'blue cheese', 'sherry', 'water chestnuts', 'onion', 'pimiento:']","['1 lb. fresh shrimp', '1 c. flour', '1 tsp. Worcestershire sauce', '1/4 c. butter', '1 Tbsp. sugar', '1 c. chopped green onion', '1 c. chopped carrots']","['Preheat oven to 350°.', 'Bake pastry for 20 minutes.', 'Cool and crumble.', 'Mix cream cheese, butter and flour.', 'Spread on bottom of pan.', 'Brown sausage and drain.', 'Spread over crust.', 'Sprinkle with cheese.', 'Mix remaining ingredients and pour over cream cheese mixture.', 'Bake for 20 minutes.', 'Serve with crackers.']"
"['white wine', 'vegetable stock', 'onions', 'dill', 'sage', 'bay leaves', 'lemons', 'Kosher salt', 'salmon filet', 'dill', 'horseradish', 'lemon juice', 'sour cream', 'mayonnaise', 'Kosher salt', 'chives:']","['1 1/2 lb. fresh shrimp', '1 c. flour', '1 c. grated onions', '1 c. grated Parmesan cheese', '1 tsp. garlic powder', '1 tsp. Accent', '1 tsp. salt', '1 1/2 tsp. basil']","['Cook potatoes in salted water until tender.', 'Drain and mash.', 'Add milk, butter, salt, pepper, salt, potatoes, caraway seed, basil, oregano and garlic powder.', 'Mix well.', 'Add eggs and mix well.', 'Add flour and mix well.', 'Pat into a 9 x 13-inch pan.', 'Bake at 350° for 25 to 30 minutes.', 'Cool and cut into squares.']"
"['flour', 'sugar', 'milk', 'baking powder', 'butter', 'peaches:']","['1 1/2 c. flour', '1/2 c. oil', '1 tsp. vanilla', '1 c. sugar', '1 c. carrots, chopped']","['Mix all ingredients together and pour into a greased 9 x 13-inch pan.', 'Bake at 350° for 30 minutes.']"
"['paprika', 'salt', 'onion powder', 'white pepper', 'cayenne pepper', 'thyme', 'garlic', 'pepper', 'chicken', 'onion:']","['2 lb. fresh or frozen cod fillets', '1 c. flour', '1 c. oil', '1 c. grated Parmesan cheese', '1 tsp. salt', '1 tsp. pepper', '1 tsp. garlic powder']","['Preheat oven to 350°.', 'Spray a 9 x 13-inch pan with nonstick cooking spray.', 'Combine first 5 ingredients in a small bowl.', 'Stir in onion, garlic and oil.', 'Stir in cracker crumbs.', 'Spread on bottom of pan.', 'Sprinkle with cheese.', 'Bake for 20 minutes.', 'Cut into squares.', 'Serve warm.']"
"['chicken breasts', 'cream of chicken soup', 'crackers', 'butter', 'cheese', 'couscous:']","['1 1/2 lb. fresh shrimp', '1 c. flour', '1 tsp. onion powder']","['Cook potatoes in salted water until tender.', 'Drain and mash.', 'Add cream cheese, salt and pepper.', 'Mix well.', 'Add corn flakes and eggs.', 'Mix well.', 'Pour into a greased 8 x 8 x 2-inch pan.', 'Bake at 350° for 30 minutes.', 'Cut into squares and serve with crackers.']"
"['sugar', 'corn syrup', 'whipping cream', 'butter', 'nuts', 'vanilla:']","['1 1/2 c. flour', '1/2 tsp. orange extract', '1/2 c. granulated sugar', '1/2 c. Butter Buds', '1 c. cold Coffee Rich']","['Preheat oven to 350°.', 'Grease a 13 x 9 x 2-inch pan.', 'In a large bowl, combine the confectioners sugar, butter and cream cheese.', 'Beat until light and fluffy.', 'Beat in the sour cream and vanilla.', 'Stir in the flour and baking powder.', 'Stir in the chopped nuts.', 'Spread in prepared pan.', 'Bake for 25 to 30 minutes or until the center is set.', 'Cool in pan for 10 minutes.', 'Remove from pan and cool on a wire rack.']"
"['pizza dough', 'extra-virgin olive oil', 'oregano', 'butter', 'chicken', 'red onion', 'garlic', 'grill seasoning', 'frozen spinach', 'feta crumbles', 'Salt', 'mozzarella cheese', 'red peppers', 'olives', 'arugula', 'cucumber', 'pepper:']","['1 1/2 lbs shrimp, cut into 1/2-inch cubes', '1/4 cup all-purpose flour', '1/4 cup cooking oil', '1/4 cup parmesan cheese, grated', '1 tablespoon lemon juice', '1 tablespoon olive oil', '1 teaspoon garlic powder', '1 teaspoon ground black pepper', '1 tablespoon chopped green onion', 'Salt and ground black pepper to taste', '1 (16 ounce) package frozen puff pastry, thawed', '1 (16 ounce) package frozen puff pastry, thawed', '1 (10 ounce) package frozen chopped spinach, thawed and drained', '1 cup chopped radishes', '1 cup chopped cooked chicken']","['Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish.', 'Cook and stir sausage in a large skillet over medium-high heat until evenly browned, about 10 minutes. Drain and discard grease. Add onion, garlic, and red pepper flakes; cook and stir until fragrant, about 2 minutes. Stir in flour and cook until fragrant, about 1 minute. Stir in cream cheese, salt, and pepper. Stir in shrimp, and cook until heated through, about 5 mi']"
"['butter', 'sugar', 'almond extract', 'flour', 'salt', 'milk chocolate kisses', 'cream cheese', 'egg yolk', 'orange juice', 'baking powder', 'flaked coconut:']","['1 1/2 c. flour', '1/2 c. Crisco', '1 c. sugar', '1 tsp. vanilla', '1 c. cold margarine', '1 egg yolk', '1/2 c. grated orange peel', '1/2 c. flour', '1/4 tsp. salt', '1/4 c. butter', '1/2 c. confectioners sugar']","['Preheat oven to 350°.', 'Grease a 13 x 9-inch pan.', 'In a large bowl, cream together the butter and cream cheese.', 'Add the sugar gradually, beating until light and fluffy.', 'Add the egg and vanilla.', 'Beat until well blended.', 'Add the flour, baking powder and salt.', 'Mix until well blended.', 'Stir in the coconut, chocolate morsels, and orange rind.', 'Spread in pan.', 'Bake for 25 to 30 minutes or until the center is almost set.', 'Cool in pan on a wire rack.', 'Cut into squares.', 'Makes about 3 dozen cookies.']"
"['mozzarella cheese', 'onion', 'green bell pepper', 'oil', 'sausage', 'pepperoni', 'black olives', 'mushrooms', 'pizza sauce', 'penne pasta:']","['1 lb. fresh shrimp, cooked and drained', '1 Tbsp. Worcestershire sauce', '1 Tbsp. onion flakes', '1 Tbsp. parsley', '1 Tbsp. canola oil', '1 (8 oz.) pkg. cream cheese', '1 (10 oz.) pkg. frozen peas', '1 (10 oz.) pkg. frozen peas', '1 lb. Velveeta cheese']","['Cook pasta according to package directions.', 'Drain and reserve.', 'In saucepan, melt butter.', 'Add pepper, onion and garlic.', 'Cook until tender.', 'Add pasta and saute until tender.', 'Add spinach, salt, pepper, parsley and tomato paste.', 'Simmer 10 minutes.', 'Add macaroni and cook until thoroughly heated.', 'Sprinkle with Parmesan cheese.']"
"['pita breads', 'salt', 'olive oil', 'vegetable soup mix', 'sour cream', 'light mayonnaise', 'spinach', 'water:']","['1 1/2 lb. fresh shrimp, cooked and drained', '1 c. flour', '1/2 c. oil', '1 Tbsp. sugar', '1/2 tsp. salt', '1/2 tsp. pepper']","['Mix all ingredients together and pour into a greased 8-inch square pan.', 'Bake at 350° for 30 minutes.', 'Cut into squares and serve with salad.']"
"['angel hair pasta', 'tomato pesto', 'chicken breast', 'olive oil', 'red bell pepper', 'orange bell pepper', 'red onion', 'zucchini:']","['1 lb. fresh or frozen potatoes', '1 c. flour']","['Cook potatoes in salted water until tender.', 'Drain and mash.', 'Add butter, garlic powder and salt.', 'Stir in flour.', 'Add egg and cook until thickened.', 'Stir in cooked pasta.', 'Serve warm or cold.']"
"['vegetable stock cube', 'fish sauce', 'lemon-grass stem', 'fresh kaffir lime', 'fresh ginger', 'Birdseye chillies', 'garlic', 'Stalks and roots', 'Wontons', 'chicken mince', 'garlic', 'green shallot', 'lemon rind', 'wonton wrappers', 'green shallots:']","['1 1/2 lbs fresh shrimp, peeled and deveined', '1 tablespoon olive oil', '1 tablespoon flour', '1 teaspoon Dijon mustard', '1 teaspoon garlic powder', '1/2 teaspoon ground cumin', '1 teaspoon garlic powder', '1 tablespoon grated parmigiano-reggiano cheese', '1 lb boneless skinless chicken breast, cut into 1/2-inch cubes', '1 large carrot, shredded', '1 green bell pepper, cut into 1-inch pieces', '1 large tomato, cut into wedges']","['Preheat oven to 350 degrees F (175 degrees C).', 'Place chicken in a shallow dish and set aside.', 'Mix the garlic, lemon juice, garlic, and salt together in a bowl. Pour the mixture over the chicken and toss to coat. Set aside.', 'In a small bowl, mix together the crackers, bread crumbs, cayenne pepper, garlic, and cayenne pepper. Dip the chicken in the seasoned bread crumb mixture, then into the seasoned bread crumb mixture to coat. Coat the chicken with the seasoned bread crumbs.', 'Heat the oil in a large skillet over medium-high heat. Cook the chicken in t']"
"['bananas', 'eggs', 'all-purpose', 'baking powder', 'bananas', 'walnuts:']","['1 1/2 c. flour', '1 c. Crisco', '2 eggs', '1 tsp. vanilla']","['Combine flour, baking powder and salt.', 'Cut in Crisco and stir in butter until mixture resembles coarse crumbs.', 'Add eggs and vanilla.', 'Mix well.', 'Shape into 1-inch balls.', 'Place on ungreased cookie sheet.', 'Bake at 350° for 12 to 15 minutes.', 'Remove from oven and allow to cool for 10 minutes.', 'Remove to wire racks to cool.', 'Makes about 3 dozen.']"
"['ground beef', 'onion', 'green pepper', 'clove garlic', 'tomatoes', 'tomato sauce', 'mushrooms', 'sugar', 'oregano', 'salt', 'basil', 'cheese', 'parmesan:']","['1 1/2 lb. shredded sharp Cheddar cheese', '1 Tbsp. Worcestershire', '1 Tbsp. oil', '1 large onion, chopped', '1 green pepper, chopped', '1 lb. ground beef', '1 can tomatoes', '1 can tomatoes', '1 Tbsp. parsley', '1 Tbsp. Worcestershire', '1/2 tsp. salt']","['Cook ground beef and onion until brown.', 'Drain off fat.', 'Add tomato sauce, brown sugar, garlic, salt, pepper, basil, oregano and cheese.', 'Stir in tomato sauce.', 'Simmer 10 minutes.', 'Combine cottage cheese and salad dressing.', 'Stir into meat mixture.', 'Pour into a greased 2-quart casserole.', 'Bake at 350° for 30 minutes.', 'Sprinkle with remaining cheese and onion.', 'Bake 5 minutes longer.']"
"['butter', 'sugar', 'boiling water', 'yeast', 'water', 'flour', 'cold water', 'eggs', 'salt:']","['1 1/2 lb. shredded Cheddar cheese', '1/2 c. oil', '1 tsp. vanilla flavoring', '1 c. sugar', '1 c. coarsely chopped pecans', '1 c. buttermilk', '1 c. flour', '2 eggs']","['Preheat oven to 350°.', 'Combine water, shortening, sugar and coffee creamed cottage cheese.', 'Bring to a boil and cool to lukewarm.', 'Add yeast and beaten eggs.', 'Add flour and baking powder.', 'Add vanilla and mix well.', 'Bake in greased and floured 9 x 13-inch pan for 30 minutes.', 'Cool 10 minutes.', 'Remove from pan.', 'Cool completely.', 'Spread frosting on top.']"
"['pepper', 'bouquet garni', 'star anise', 'vegetable stock', 'carrot', 'red capsicum', 'celery', 'salt:']","['1 lb. fresh or frozen potatoes', '1 c. oil', '1 c. Parmesan cheese', '1 tsp. Worcestershire', '1 tsp. grated lemon peel', '1 c. carrots, sliced thin']","['Cut potatoes into 1/4-inch slices.', 'Place in a large bowl.', 'Add carrots, green pepper, garlic, pepper, carrots, butter, milk and vinegar.', 'Mix well.', 'Spoon into shallow baking dish.', 'Bake at 350° for 20 minutes or until crumbs are golden brown.', 'Serves 6.']"
"['beans', 'sugar', 'molasses', 'mustard', 'pepper', 'salt', 'salt pork:']","['1 lb. fresh or frozen cabbage', '1 Tbsp. Worcestershire sauce', '1/2 c. oil', '1 c. brown sugar', '1 c. fresh mushrooms']","['Cut bacon into 1/4-inch slices.', 'Combine brown sugar, vinegar, mustard and soy sauce.', 'Stir in browned beef.', 'Cover and simmer for 15 minutes.', 'Stir in bacon.', 'Cook until cabbage is tender.', 'Serve with crackers.']"
"['sugar', 'margarine', 'milk', 'semi-sweet chocolate chips', 'marshmallows', 'vanilla:']","['1 c. shortening', '1 c. Grape-Nuts cereal', '1 c. confectioners sugar', '1 tsp. vanilla extract', '1 c. Rice Krispies', '1 c. miniature marshmallows']","['Combine sugar, margarine and condensed milk in a medium saucepan.', 'Bring to a boil, stirring constantly.', 'Boil 5 minutes, stirring constantly.', 'Remove from heat.', 'Stir in cocoa and vanilla.', 'Stir in chocolate bits.', 'Stir in nuts.', 'Pour into greased 13 x 9-inch pan.', 'Chill until firm.', 'Cut into squares.']"
"['mint sprigs', 'fluid ounces simple syrup', 'crushed ice', 'Bourbon:']","['6 -8 lbs sliced Sausage links', '1 cup flour', '1 tablespoon olive oil']","['Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish.', 'Combine cottage cheese, sour cream, and salt in a bowl. Stir in flour and baking powder. Stir in grated cheese. Spoon into prepared pan.', 'Bake in preheated oven until set, about 30 minutes.']"
"['eggs', 'sugar', 'cinnamon', 'cloves', 'pumpkin', 'salt', 'ginger', 'milk', 'pastry shell:']","['3 lb. frozen puff pastry sheets', '1 c. oil', '3 eggs', '1 1/2 c. powdered sugar', '1 tsp. vanilla', '1/2 tsp. ground cinnamon', '1/2 tsp. salt']","['Cook pumpkin and set aside.', 'Combine cream cheese, sugar, eggs, peaches, salt, ginger, cinnamon and nutmeg.', 'Beat well.', 'Add to dry ingredients.', 'Beat until smooth.', 'Pour into greased 9-inch pie pan.', 'Bake at 350° for 40 minutes.', 'Cool on wire rack.']"
"['White rice', 'Carrot', 'Onion', 'Green peppers', 'granules', 'Salt', 'Onion', 'Ground meat', 'Water', 'curry roux', 'Egg', 'Milk', 'Heavy cream:']","['1 1/2 lb. fresh or frozen cabbage', '1/2 c. Sugar', '1/2 c. Crisco', '1/2 c. flour', '1 tsp. Ground Pepper', '1 tsp. Salt', '1 egg', '1 c. Chopped Onion']","['Cook potatoes in boiling water for 5 minutes; drain.', 'Cook onion in butter until tender.', 'Stir in flour, salt, pepper, Cheddar cheese, eggs, cottage cheese, shredded carrots and water.', 'Stir until well blended.', 'Spoon into greased 1-quart casserole.', 'Bake at 350° for 30 minutes.', 'Makes 6 servings.']"
"['potatoes', 'tomato paste', 'vegetable oil', 'oregano', 'fennel seeds', 'paprika', 'basil', 'garlic', 'salt', 'sugar', 'parmesan cheese:']","['1 1/2 lb. flounder fillets', '1/2 c. Crisco oil', '1 c. chopped sweet potato', '1/2 c. chopped green onion', '1 Tbsp. poppy seed', '1 Tbsp. Worcestershire sauce', '1/2 tsp. garlic powder']","['Preheat oven to 350°.', 'Combine potatoes, sugar, butter, Worcestershire sauce, garlic and garlic powder.', 'Mix well.', 'Spread mixture on bottom of pan.', 'Spread cheese mixture on top.', 'Bake for 20 minutes.', 'Cool and cut into squares.']"
"['fruit punch', 'champagne', 'ginger ale:']","['1 (12 oz.) can frozen orange juice concentrate, thawed', '1 c. powdered sugar', '1 (8 oz.) container Cool Whip']","['Combine first 3 ingredients in bowl.', 'Beat until smooth.', 'Stir in sugar and lemon juice.', 'Cover and chill for 3 hours.', 'Shape into balls and roll in powdered sugar.']"
"['apples', 'cinnamon', 'nutmeg', 'sugar', 'milk', 'Bisquick', 'eggs', 'butter', 'nuts', 'brown sugar', 'raisins:']","['1 1/2 c. flour', '1/2 tsp. vanilla', '1/2 c. oil', '1 c. confectioners sugar', '2 eggs', '1 c. chopped nuts', '1 c. brown sugar']","['Combine all ingredients and beat well.', 'Pour into greased 9 x 13-inch pan.', 'Bake at 350° for 30 minutes.', 'Cool and cut into squares.']"
"['almonds unblanched', 'flour', 'whole wheat flour', 'turbinado sugar', 'baking soda', 'eggs', 'vanilla:']","['3 c. flour', '1/2 c. oil', '1 c. cottage cheese', '2 eggs']","['Mix all ingredients together.', 'Bake in a greased and floured 9 x 13-inch pan at 350° for 30 minutes.']"
"['dried apricots', 'coconut', 'condensed milk', 'confectioners sugar:']","['1 1/2 c. fresh or frozen corn', '1 tsp. Worcestershire Sauce', '1/2 c. oleo']","['Combine cornstarch and sugar in a small bowl.', 'Add boiling water and stir until smooth.', 'Stir in cornstarch and vanilla.', 'Stir in corn flakes.', 'Spoon into a greased 1 1/2-quart casserole.', 'Bake at 350° for 30 minutes.', 'Serve warm with crackers.']"
"['rice', 'frozen thawed', 'celery', 'onion', 'margarine', 'almonds', 'shredded cheese', 'mushroom soup', 'milk', 'almonds:']","['1 lb. fresh or frozen carrots', '1/4 c. flour', '1/4 c. Worcestershire sauce', '1/4 c. oleo', '1/4 c. chopped green onion', '1/4 c. chopped parsley', '1/2 c. slivered almonds', '1 c. shredded cheese']","['Cook cauliflower and carrots in boiling water until tender.', 'Drain and mash.', 'Add celery, onion, mayonnaise, milk, cream cheese, lemon juice and pepper.', 'Stir in corn and corn.', 'Pour into a greased 1 1/2-quart casserole.', 'Bake at 350° for 30 minutes.', 'Serves 6 to 8.']"
"['cream of mushroom soup', 'milk', 'American cheese', 'chicken', 'macaroni', 'eggs', 'oleo', 'bread crumbs:']","['1 1/2 lb. fresh shrimp', '1/4 c. flour', '1 tsp. onion powder', '1 c. grated Cheddar cheese', '2 eggs']","['Cook potatoes in salted water until tender.', 'Drain and mash.', 'Add milk, salt, pepper, cornstarch and baking powder.', 'Add eggs and cream cheese and beat until smooth.', 'Add corn and cornbread mix.', 'Pour into greased casserole dish.', 'Bake at 350° for 30 minutes.']"
"['beef wieners', 'vegetables', 'buns:']","['1 1/2 lb. fresh or frozen potatoes (about 3 lb.)', '1 c. oil', '1 c. Cool Whip', '1 c. frozen peas']","['Cut potatoes into 1/4-inch thick slices.', 'Place in a large bowl.', 'Add salt, pepper and garlic powder.', 'Mix well.', 'Spread on bottom of pan.', 'Place cut side up on top of potatoes.', 'Sprinkle with Parmesan cheese.', 'Bake at 350° for 30 minutes.', 'Serves 6.']"
"['butter', 'hot milk', 'bread crumbs', 'salt', 'pepper', 'onion', 'eggs', 'grated cheese:']","['1 1/2 lb. fresh shrimp', '1/2 c. Wesson oil', '1 c. cornflour', '1 Tbsp. parsley', '1 Tbsp. grated onion', '1/2 tsp. vanilla', '1 tsp. salt', '4 eggs']","['Cook shells according to package directions.', 'Cool and cut into cubes.', 'Combine butter, milk, bacon and cheese.', 'Add salt, pepper, garlic powder and onion.', 'Mix well.', 'Add eggs and mix well.', 'Pour into a greased casserole dish.', 'Bake at 350° for 30 minutes.', 'Serves 6 to 8.']"
"['sugar', 'milk', 'cornstarch', 'vanilla', 'bread', 'milk', 'eggs', 'nutmeg:']","['1 lb. boneless sirloin steak, cut into 1-inch cubes', '1/3 c. oil', '1/4 c. flour', '1 tsp. ground cardamon', '1 c. Cheddar cheese, shredded', '1 tsp. vanilla', '1 c. milk']","['Combine sugar, flour, milk, baking powder and vanilla in a small bowl.', 'Stir in corn meal mixture.', 'Stir in cooked sausage and cheese.', 'Spoon into greased 9-inch square baking dish.', 'Bake at 350° for 30 minutes.', 'Makes 6 servings.']"
"['golden raisins', 'currants', 'dried cherries', 'dried apricots', 'walnuts', 'lemon', 'brandy', 'butter', 'brown sugar', 'eggs', 'flour', 'salt', 'baking powder', 'ground cinnamon', 'allspice', 'freshly ground nutmeg', 'orange juice', 'brandy:']","['1 1/2 lb. fresh or frozen potatoes', '1 c. vegetable oil', '1 c. sugar', '1 tsp. vanilla', '2 eggs', '1 c. chopped nuts', '1 c. flour', '1 c. flaked coconut', '1 c. grated Granny Smith apple', '1 c. raisins', '1/2 c. grated orange rind', '1/2 tsp. salt', '1 tsp. baking powder', '1 c. flaked coconut']","['Preheat oven to 350°.', 'Grease and flour a 10-inch tube pan.', 'Sprinkle the bottom of the pan with the brown sugar.', 'In a large bowl, combine the brown sugar, butter, orange juice, eggs, flour, baking powder, baking soda, salt, cinnamon and nutmeg.', 'Beat until smooth.', 'Stir in the vanilla and raisins.', 'Spread batter evenly in the pan.', 'Bake for 1 hour and 10 minutes or until the top of the cake springs back when lightly touched.', 'Cool in pan for 10 minutes.', 'Remove from the oven and cool completely.', 'Spread the cream cheese over the cake.', 'Sprinkle with coconut.', 'Sprinkle with almonds.', 'Serves 8.']"
"['corn tortillas', 'Vegetable oil', 'orange', 'lime juice', 'salt', 'oregano', 'cilantro', 'red onion', 'tomato', 'Freshly ground black pepper', 'sauce:']","['1 1/2 lb. fresh shrimp, peeled and deveined', '1/2 c. flour', '1/2 c. Parmesan cheese', '1 tsp. Worcestershire', '1/2 tsp. cornstarch', '1/2 tsp. salt']","['Combine first 5 ingredients in a large bowl.', 'Stir in oil, egg and salt.', 'Add cornstarch mixture and mix well.', 'Spread into a greased 8-inch square baking dish.', 'Bake at 350° for 20 minutes.', 'Cool completely.', 'Spread sour cream on top of cream cheese mixture.', 'Sprinkle with chopped green onions.', 'Cover and chill until firm.', 'Cut into squares.']"
"['tart applesauce', 'lemon juice', 'sugar', 'eggs', 'butter', 'nutmeg', 'salt:']","['1 1/2 lb. fresh or frozen cooked pasta (any kind of frozen)', '1 c. Cooking Sauce', '1 tsp. grated onion', '2 eggs, beaten', '1 Tbsp. Worcestershire sauce', '1 Tbsp. chopped parsley']","['Preheat oven to 350°.', 'Combine all ingredients except cornflakes and corn flakes.', 'Shape into 1-inch balls.', 'Place on ungreased cookie sheet.', 'Bake 10 to 12 minutes or until golden brown.', 'Makes about 2 dozen.']"
"['potatoes', 'butter', 'garlic', 'shallots', 'flour', 'milk', 'buttermilk', 'white pepper', 'mayonnaise', 'mustard', 'worcestershire sauce', 'parsley', 'blue cheese', 'mushrooms', 'potato chips', 'broccoli', 'pimentos:']","['1 1/2 lb. shredded Colby cheese', '1/2 c. chopped green onions', '1 c. flour', '1/2 c. vegetable oil', '1 tsp. Worcestershire sauce', '1/2 c. honey', '1/2 c. buttermilk', '1 c. part skim milk', '1 c. chopped fresh basil', '1 c. fresh mushrooms, sliced', '1/2 c. broccoli florets', '1 c. shredded Cheddar cheese']","['Combine first 5 ingredients in a small bowl.', 'Cut butter into flour until mixture resembles coarse crumbs.', 'Stir in milk and cream cheese.', 'Stir in remaining ingredients.', 'Spoon into a greased 8-inch square baking dish.', 'Bake at 350° for 25 to 30 minutes or until golden brown.', 'Cool 5 minutes.', 'Serve with crackers.']"
"['raspberries', 'sugar', 'lemon juice', 'gelatin', 'cold water', 'boiling water', 'whipping cream:']","['1 lb. fresh or frozen shredded cabbage', '1/4 c. margarine', '1 Tbsp. Sugar', '1 tsp. vinegar', '1 tsp. grated lemon rind', '1 (8 oz.) carton Cool Whip', '1 (8 oz.) carton Cool Whip', '1 (8 oz.) carton Cool Whip', '1 c. sugar']","['Dissolve gelatin in boiling water.', 'Add cold water and sugar.', 'Beat well.', 'Add cottage cheese, lemon juice and vanilla.', 'Fold in Cool Whip.', 'Pour into crust.', 'Chill until firm.', 'Serve with whipped cream.']"
"['water', 'pearl barley', 'porcini mushrooms', 'boiling water', 'olive oil', 'stalks celery', 'carrots', 'onion', 'cremini mushrooms', 'thyme', 'vegetable stock', 'sherry', 'salt', 'ground black pepper', 'red wine vinegar', 'parsley', 'parmesan cheese:']","['1 1/2 lbs fresh shrimp, peeled and deveined', '1 tablespoon Worcestershire sauce', '1 tablespoon olive oil', '1 tablespoon poppy seeds', '1 tablespoon capers', '1/2 cup water', '1/2 cup raisins', '1/2 cup crumbled blue cheese', '1/2 cup chopped fresh mushrooms', '1/2 cup chopped red onion', '1/2 cup chopped carrots', '1/2 teaspoon salt', '1/4 teaspoon ground black pepper']","['Combine the sugar, water, vinegar, olive oil, pepper, and salt in a saucepan. Bring to a boil and cook until the sugar has dissolved. Remove from heat and stir in the peanut butter and oyster sauce. Add the potatoes, carrots, onion, and peas. Mix well and set aside.', 'In a large bowl, combine the salad dressing, parmesan cheese and pepper. Stir into the mixture. Cover and refrigerate for at least 1 hour before serving.']"
"['eggs', 'parsley', 'fresh chives', 'gruyere cheese', 'mustard', 'salt:']","['1 lb. fresh or frozen cauliflower', '1 c. flour', '2 eggs', '1 c. oil', '1 c. grated Cheddar cheese']","['Cook pasta according to package directions.', 'Drain well.', 'Combine eggs, flour, baking powder and cayenne pepper in a bowl.', 'Add to potato mixture and mix well.', 'Stir in cheese.', 'Spoon into greased 1-quart casserole.', 'Bake at 350° for 25 to 30 minutes or until golden brown.', 'Cool 5 minutes.', 'Serve warm.']"
"['frozen hash browns', 'onions', 'sour cream', 'oleo', 'salt', 'shredded cheese', 'cream of chicken soup:']","['2 lb. fresh or frozen shrimp', '1/2 c. flour', '1 tsp. sugar', '1/2 tsp. Accent', '1/2 c. melted oleo', '1 tsp. salt']","['Cook spinach according to package directions.', 'Drain and cool.', 'Combine cottage cheese, cream cheese, sour cream, onions, salt and pepper.', 'Stir in corn.', 'Spread in a 13 x 9-inch pan.', 'Bake at 350° for 20 minutes.', 'Cool completely.', 'Spread sour cream on top.', 'Sprinkle with remaining cheese.', 'Bake at 350° for 15 minutes.']"
"['cornbread', 'enchilada sauce', 'salt', 'ground beef chuck', 'tomato sauce', 'cheese blend:']","['1 1/2 lb. fresh shrimp', '1 c. flour', '1 Tbsp. oil', '1 tsp. salt', '1/2 tsp. grated Parmesan cheese']","['Cook potatoes in boiling water for 10 minutes; drain.', 'Combine cornstarch, salt, pepper and garlic powder.', 'Cut in shortening until mixture is crumbly.', 'Stir in cheese.', 'Shape into balls.', 'Place on a greased cookie sheet.', 'Bake at 350° for 15 minutes.', 'Melt cheese and butter in saucepan.', 'Stir in pork and beat well.', 'Serve warm with crackers.']"
