NER,ingredients,directions
"['vanilla wafers, cream cheese, cream cheese, Splenda, vanilla, egg whites']","[' 18 vanilla wafers', ' 1 10 ounce package philadelphia brand cream cheese, softened', ' 1 8 ounce package fat free cream cheese, softened', ' 1 cup thawed cool whip', ' 1 1/2 cups heinz brand granulated sugar', ' 1 1/2 cups thawed cool whip lite', ' 1/2 cup thawed cool whip lite', ' 1/2 cup dry roasted and salted vanilla', ' 3 egg whites']","[' crush vanilla wafers reserve 1/4 cup.', ' coat bottom and sides of 10 inch springform pan with nonstick cooking spray.', ' press cookie crumbs into bottom of prepared pan.', ' beat cheese, cool whip, liqueur and vanilla with electric mixer on medium speed until well blended.', ' add egg whites, 1 at a time, beating on low speed after each addition until well blended.', ' pour into crust.', ' bake at 325 degrees for 50 55 minutes or until center is almost set.', ' run knife or metal spatula around rim of pan to loosen cake cool before removing rim of pan.', ' refrigerate 4 hours or overnight.', ' serve with remaining wafers.']"
"['pork, brown sugar, ketchup, maple syrup']","[' 1 large can pork and beans', ' brown sugar', ' ketchup', ' maple syrup']","[' place beans in glass casserole dish.', ' mix sugar, syrup and ketchup.', ' pour over beans and bake at 375 for 35 to 40 minutes.', ' serve with hamburgers or bacon.']"
"['Coconut Milk, Milk, Milk, Sugar, Milk(full, Eggs, Salt, Coconut, Vanilla, Aluminum cake, mesh strainer']","[' 1 15 ounce can coconut milk', ' 1 cup evaporated milk', ' 1 can sweetened condensed milk', ' 1/2 cup sugar, divided', ' 1/2 cup milk(full cup of evaporated milk', ' 4 eggs', ' 1 dash salt', ' 1 teaspoon coconut extract', ' 2 teaspoons vanilla extract', ' 1 aluminum cake pan', ' 1 mesh strainer']","[' 1. pour all ingredients into your steamer and cover. allow to sit for 3 4 hours or overnight.', '', ' 2. once it has finished simmering, place your cake pan in a shallow oven proof dish and pour hot water into the dish about 1/2 way up the sides of the cake pan. carefully place the dish in the oven and heat for 1 hour at 300 degrees or until it reaches the set state. use a knife to remove the flan, and then place a plate underneath to catch any spills.', '', ' 3. let it cool to room temperature. using your mesh strainer, remove flan from your water bath and place into freezer overnight.', '', ' 4. to serve, let the flan cool completely before serving. i put a few ice cubes in the center and a dollop of whipped cream.']"
"['white asparagus, chicken, butter, bay leaf, oranges, salt, extra virgin olive oil, Freshly ground black pepper']","[' 2 pounds white asparagus, trimmed, halved lengthwise and spears peeled', ' 1 cup homemade or store bought low sodium chicken stock', ' 1 tablespoon butter', ' 1 bay leaf', ' 4 large oranges, unpeeled', ' salt', ' 4 tablespoons extra virgin olive oil', ' 1/2 cup grated pecorino, plus additional for garnish', ' freshly ground black pepper']","[' steam or blanch asparagus in a large saucepan of boiling salted water until crisp tender, about 1 minute.', ' transfer to an ice bath and drain.', ' melt chicken stock in a medium saucepan over medium heat.', ' add butter and bay leaf and cook, stirring, for 1 minute.', ' whisk in 1 tablespoon drained orange juice.', ' season with salt.', ' add olive oil, 1/4 cup pecorino and a pinch of pepper to saucepan and keep warm.', ' cook chicken, skin side down, in a large heavy skillet over medium high heat until browned and crisp, about 5 minutes.', ' transfer to a plate and tent loosely with foil to keep warm.', ' boil oranges, 2 tablespoons orange juice, and 1 teaspoon salt until sauce is reduced to about 1/4 cup, about 5 minutes.', ' pour over asparagus and toss to coat.', ' arrange oranges over asparagus and garnish with more pecorino and more pecorino.']"
"['woven wheat crackers, deli, CLAUSSEN Sauerkraut, Swiss, POUPON']","[' 4 woven wheat crackers', ' 4 slices deli smoked turkey', ' 2 tbsp. calabaza or kraft calabaza and sesame dressing', ' 1/2 cup canned la choy claUSSEN sauerkraut, well drained', ' 1/4 cup kraft finely shredded colby monterey jack cheeses', ' 1/4 cup pickled poupon']","[' top each cracker with 1 of the remaining ingredients.', ' cover with remaining crackers.', ' microwave on high 30 to 45 sec.', ' or until cheese is melted.']"
"['unsalted butter, brown sugar, vanilla, salt, semi-sweet chocolate bits, carrots, eggs, flour, pecans']","[' 1 1/4 sticks 3/4 cup unsalted butter, softened', ' 1 cup firmly packed light brown sugar', ' 1 tablespoon vanilla extract', ' 3/4 teaspoon salt', ' 1 cup semisweet chocolate bits', ' 1 1/2 cups finely grated carrots', ' 3 large eggs, beaten lightly', ' 2 tablespoons all purpose flour', ' 3/4 cup coarsely chopped pecans']","[' preheat oven to 350f.', ' in a bowl cream together the butter, the brown sugar, and the vanilla with a wooden spoon, then stir in the salt and the chocolate bits and the carrots.', ' add the eggs, beating them in well with the wooden spoon, and beat in the flour.', ' fold in the nuts, and pour the mixture into a buttered 9 inch springform pan.', ' bake the cake in the middle of the oven for 45 minutes, or until it is set and a tester comes out clean, and let it cool on a rack for 10 minutes, remove the sides of the pan, and cool it completely on the rack.', ' transfer the cake to a serving platter and serve the cake at room temperature or chilled.']"
"['beef flank, onion, olive oil, vinegar, oregano, salt, tomatoes, onion, serrano chilies, avocados']","[' 1 1/4 pounds beef flank steak', ' 1 medium onion, sliced', ' 1 cup olive oil', ' 2 tablespoons vinegar', ' 2 teaspoons dried oregano', ' salt and pepper to taste', ' 3 medium tomatoes, seeded and chopped', ' 1/2 small onion, chopped', ' 3 serrano chilies, seeded and chopped', ' 4 avocados, peeled and chopped']","[' trim fat from steak and cut into 1 inch cubes. soak meat in a bowl of cold water for 15 minutes.', ' drain. rinse meat with cold water and dry. in large bowl, combine beef with sliced onion, oil, vinegar, oregano, salt and pepper. let stand, covered, for 1 hour or until meat is tender.', ' in small bowl, combine tomatoes, onion and chilies.', ' drain meat. stir seasoned tomato mixture and avocado into seasoned meat mixture.']"
"['mango, salt, brown sugar, cider vinegar']","[' 10 lb. mango', ' 1 tsp. salt', ' 1 lb. brown sugar', ' 2 1/2 c. cider vinegar']","[' slice mango into very small pieces and place in crock pot.', ' stir in remaining ingredients.', ' cook for 4 hours on low.', ' stir occasionally.', ' seal in jars and keep in refrigerator.']"
"['graham cracker crumbs, sugar, almonds, cinnamon, butter']","[' 1 3/4 cups graham cracker crumbs about 18 crackers', ' 1/3 cup sugar', ' 1 1/3 cups almonds, toasted, chopped', ' 1 teaspoon cinnamon', ' 6 tablespoons butter, melted']","[' preheat oven to 350.', ' mix graham cracker crumbs, sugar, almonds and cinnamon in medium bowl. stir in butter. press crust evenly on bottom and up sides of 9 inch pie plate. bake 10 minutes.', ' cool completely.']"
"['ricotta cheese, ricotta cheese, fresh oregano, fresh basil, eggs, spaghetti sauce, water, vegetable protein, garlic, olive oil, onion, mixed mushrooms, swiss chard, pasta, mozzarella cheese, mozzarella cheese, parmesan cheese, salt, ground pepper']","[' 1 cup part skim ricotta cheese', ' 2 tablespoons part skim ricotta cheese', ' 1 tablespoon fresh oregano, chopped', ' 1 tablespoon fresh basil, chopped', ' 2 large eggs', ' 14 cup spaghetti sauce, your favorite', ' 14 cup water', ' 14 cup textured vegetable protein, such as tvp r', ' 2 garlic cloves, minced', ' 1 tablespoon olive oil', ' 1 medium onion, chopped', ' 1 cup mixed mushrooms, sliced', ' 1 bunch swiss chard, chopped', ' 3 cups uncooked bow tie pasta', ' 1 12 cups mozzarella cheese, plus', ' 1 cup part skim mozzarella cheese, shredded', ' 13 cup grated parmesan cheese', ' 12 teaspoon salt', ' 14 teaspoon fresh ground pepper']","[' preheat the oven to 375f.', ' coat a 9 x 13 inch baking dish with cooking spray set aside.', ' in a medium bowl, combine the ricotta, oregano, basil and eggs.', ' stir in the spaghetti sauce and water.', ' in a small bowl, combine the textured vegetable protein and garlic.', ' in a large skillet, heat the oil over medium high heat.', ' add the onion, mushrooms and swiss chard cover and cook for 5 minutes or until tender.', ' remove from the heat and stir in the ricotta mixture, textured vegetable protein, salt, pepper and cooking pasta.', ' transfer to the prepared baking dish.', ' sprinkle with the 2 cheeses.', ' bake, uncovered, for 30 minutes.']"
"['bacon, cream cheese, spread, blue cheese, sherry, water chestnuts, onion, pimiento']","[' 8 slices bacon', ' 3 8 ounce packages cream cheese', ' 14 cup boursin spread', ' 4 ounces blue cheese', ' 1 tablespoon dry sherry', ' 1 4 ounce can water chestnuts, drained and finely chopped', ' 1 small onion, minced', ' 2 tablespoons diced pimiento']","[' cook bacon until crisp and drain on paper towels and crumble.', ' stir together cream cheese, cheese spread, and sherry until blended.', ' stir in water chestnuts, onion, pimento and crumbled bacon.', ' spoon into a lightly greased 2 quart baking dish.', ' bake at 350 degrees for 25 minutes or until golden brown.', ' serve with assorted crackers.']"
"['white wine, vegetable stock, onions, dill, sage, bay leaves, lemons, Kosher salt, salmon filet, dill, horseradish, lemon juice, sour cream, mayonnaise, Kosher salt, chives']","[' 1 cup white wine', ' 1 cup vegetable stock', ' 2 cups sliced onions', ' 4 sprigs fresh dill', ' 4 sprigs fresh sage', ' 4 bay leaves', ' 2 lemons, halved', ' 2 tablespoons kosher salt', ' 2 pounds salmon filet, with skin', ' 1/2 cup chopped fresh dill', ' 1/2 cup prepared horseradish', ' 1 tablespoon fresh lemon juice', ' 1 cup sour cream', ' 1 cup mayonnaise', ' 1 teaspoon kosher salt', ' 1/2 bunch chives, thinly sliced']","[' make the poaching liquid in a large pot, bring the wine, stock, onions, dill, sage, bay leaves, lemons and salt to a simmer, and then cook for 30 minutes.', ' add the salmon and cook, uncovered, until the fish is cooked through, 12 to 15 minutes.', ' transfer the salmon to a plate, and set aside until cool enough to handle.', ' let the poaching liquid cool to room temperature, and then pour it into a measuring cup to make 6 1/2 cups liquid.', ' reserve the poaching liquid for the sauce.', ' make the sauce combine the dill, horseradish, lemon juice, sour cream and mayonnaise in a small bowl, and whisk together until smooth.', ' season with the salt.', ' serve with the salmon and garnish with the chives.']"
"['flour, sugar, milk, baking powder, butter, peaches']","[' 1 c. flour', ' 1 c. sugar', ' 1 c. milk', ' 2 tsp. baking powder', ' 1 stick butter', ' 1 29 oz. can peaches']","[' melt butter in pan.', ' mix flour, sugar, milk and baking powder.', ' pour over melted butter.', ' do not stir.', ' pour in peaches.', ' do not stir.', ' bake at 350 for 45 minutes.']"
"['paprika, salt, onion powder, white pepper, cayenne pepper, thyme, garlic, pepper, chicken, onion']","[' 1 tablespoon paprika', ' 1 teaspoon salt', ' 1 teaspoon onion powder', ' 1/2 teaspoon white pepper', ' 1 teaspoon cayenne pepper', ' 1/2 teaspoon dried thyme', ' 1/4 teaspoon garlic powder', ' 1/4 teaspoon pepper', ' 1 5 pound whole chicken, halved', ' 1 large onion, halved']","[' stir together first 7 ingredients.', ' score skin side of chicken with diagonal cuts. rub spice mixture under skin and over meat and in cavity.', ' place onion over chicken.', ' tie drumsticks together with string. cover and chill 8 hours.', ' place chicken on a rack in a broiler pan. bake, uncovered, at 325 for 1 hour and 15 minutes or until done, basting occasionally with pan drippings.']"
"['chicken breasts, cream of chicken soup, crackers, butter, cheese, couscous']","[' 4 boneless skinless chicken breasts', ' 10 34 ounces cream of chicken soup', ' 4 ounces saltine crackers, crushed', ' 4 tablespoons butter, melted', ' 4 ounces monterey jack cheese, grated', ' 14 cup cooked couscous']","[' cut chicken in bite size pieces.', ' in greased 9 x 13 baking dish, put chicken.', ' pour soup over chicken.', ' mix cracker crumbs with melted butter.', ' put over chicken.', ' sprinkle cheese on top.', ' bake uncovered 350f for 30 minutes.', ' serve with couscous.']"
"['sugar, corn syrup, whipping cream, butter, nuts, vanilla']","[' 1 c. sugar', ' 1/3 c. corn syrup', ' 1 c. whipping cream', ' 3 tbsp. butter', ' 1 c. chopped nuts', ' 1 tsp. vanilla']","[' butter bottom of heavy saucepan.', ' mix sugar, corn syrup and whipping cream in saucepan.', ' bring to a boil.', ' simmer 5 minutes over low heat.', ' add butter.', ' stir until smooth.', ' cool.', ' add vanilla, nuts and coconut.', ' beat until mixture loses its gloss.']"
"['pizza dough, extra-virgin olive oil, oregano, butter, chicken, red onion, garlic, grill seasoning, frozen spinach, feta crumbles, Salt, mozzarella cheese, red peppers, olives, arugula, cucumber, pepper']","[' 1 tube 12 ounces pizza dough', ' 2 tablespoons extravirgin olive oil', ' 1 teaspoon dried oregano', ' 2 tablespoons butter, divided', ' 1 pound ground chicken breast', ' 1/2 cup chopped red onion', ' 3 garlic cloves, minced', ' 2 tablespoons grill seasoning, divided', ' 1/2 10 ounce package frozen spinach, thawed and squeezed dry', ' 1/2 cup feta crumbles', ' 3/4 teaspoon salt', ' 1 cup 6 ounces shredded mozzarella cheese', ' 1/2 cup roasted red peppers, drained and chopped', ' 1/3 cup sliced kalamata olives', ' 2 cups arugula leaves', ' 1 cucumber, peeled, seeded, and sliced', ' 1/2 teaspoon pepper']","[' preheat oven to 450.', ' place pizza dough on a lightly greased baking sheet, and stretch to 1/4 inch thickness. combine 1 tablespoon oil and oregano brush over dough.', ' melt 1 tablespoon butter in a large skillet over medium high heat add chicken, onion, and garlic, and cook 8 minutes or until chicken is browned and done, stirring to crumble. stir in 1 teaspoon grill seasoning.', ' place spinach in a food processor pulse 3 times or until coarsely chopped. add cooked chicken, spinach, feta, salt, and remaining butter pulse 6 times or until smooth. spread chicken mixture over dough, leaving a 1/2 inch border. sprinkle with mozzarella cheese, peppers, olives, arugula, and cucumber sprinkle with pepper.', ' bake at 450 for 12 minutes or until cheese melts and crust is golden brown.']"
"['butter, sugar, almond extract, flour, salt, milk chocolate kisses, cream cheese, egg yolk, orange juice, baking powder, flaked coconut']","[' 1/2 c. butter', ' 1/4 c. sugar', ' 1/2 tsp. almond extract', ' 1 c. flour', ' 1/2 tsp. salt', ' 10 milk chocolate kisses', ' 1 3 oz. pkg. cream cheese', ' 1 egg yolk', ' 1 tsp. orange juice', ' 1/2 tsp. baking powder', ' 1/2 c. flaked coconut']","[' cream butter and cream cheese together.', ' add sugar, egg yolk and almond extract. beat well.', ' stir in flour, baking powder and salt.', ' chill dough.', ' shape dough into balls.', ' place on cookie sheet.', ' bake at 375 for 6 minutes.', ' remove from oven, press each cookie with thumb and fill with a kiss.', ' return to oven bake 8 minutes more.']"
"['mozzarella cheese, onion, green bell pepper, oil, sausage, pepperoni, black olives, mushrooms, pizza sauce, penne pasta']","[' 1 1/2 cups shredded mozzarella cheese', ' 1/2 cup onion, chopped', ' 1/2 cup green bell pepper, chopped', ' 2 tablespoons oil', ' 1 1/2 cups cooked sausage, chopped', ' 1 1/2 cups pepperoni, chopped', ' 1 cup sliced black olives', ' 1/2 cup sliced mushrooms', ' 1 15 ounce can pizza sauce', ' 3 cups penne pasta, cooked and drained']","[' preheat oven to 350 degrees f 175 degrees c.', ' bring a large pot of lightly salted water to a boil. cook pasta in the boiling water, stirring occasionally until cooked through yet firm to the bite, about 11 minutes. drain.', ' in a large bowl, mix together the mozzarella, onion, green pepper and oil. mix in the sausage, pepperoni, olives and mushrooms until well blended. mix in the pizza sauce.', ' pour into a 9x13 inch baking dish. top with pasta and sprinkle with the mozzarella mixture.', ' bake in the preheated oven until lightly browned, about 30 minutes.']"
"['pita breads, salt, olive oil, vegetable soup mix, sour cream, light mayonnaise, spinach, water']","[' 4 pita breads', ' salt and pepper', ' 1 tablespoon olive oil', ' 1 1 ounce package dry vegetable soup mix', ' 16 ounces light sour cream', ' 1 12 cups light mayonnaise', ' 10 ounces spinach, defrosted and drained', ' 12 cup water']","[' preheat oven to 350.', ' cut each pita bread into eight wedges and place on a baking sheet.', ' brush pita wedges with olive oil and bake until crisp and golden brown, about 5 minutes.', ' let cool.', ' combine all remaining ingredients and mix well.', ' serve with the pita chips.']"
"['angel hair pasta, tomato pesto, chicken breast, olive oil, red bell pepper, orange bell pepper, red onion, zucchini']","[' 8 ounces angel hair pasta', ' 2/3 cup sun dried tomato pesto', ' 1 lb boneless skinless chicken breast, cut into 1 inch pieces', ' 2 tablespoons olive oil', ' 1 red bell pepper, seeded and cut into chunks', ' 1 orange bell pepper, seeded and cut into chunks', ' 1/2 red onion, cut into chunks', ' 1 zucchini, cut into chunks']","[' cut pasta in half.', ' brush half of the pesto on chicken and set aside.', ' thread chicken onto 8 metal skewers.', ' heat oil in large skillet over medium heat.', ' add peppers, onion and zucchini cook and stir until crisp tender, about 7 minutes.', ' set aside 1 tablespoon tomato pesto.', ' cook and stir remaining pesto in the skillet until hot.', ' cook pasta according to package directions.', ' stir pasta into reserved pesto and pepper mixture cook and stir 3 minutes or until heated through.', ' transfer chicken skewers to serving platter and top with the grilled vegetable mixture.', ' drizzle with reserved pesto mixture and serve.']"
"['vegetable stock cube, fish sauce, lemon-grass stem, fresh kaffir lime, fresh ginger, Birdseye chillies, garlic, Stalks and roots, Wontons, chicken mince, garlic, green shallot, lemon rind, wonton wrappers, green shallots']","[' 1 vegetable stock cube, crushed', ' 1 tablespoon fish sauce', ' 1 lemongrass stem', ' 4 fresh kaffir lime leaves, torn into 2cm pieces', ' 1 slice fresh ginger, finely grated', ' 2 birdseye chillies, deseeded and thinly sliced', ' 3 garlic cloves, crushed', ' 1/2 kg asparagus tips and the stalks of stalks and roots, cut into 1cm pieces', ' wontons', ' 350 g chicken mince', ' 1 garlic clove, finely chopped', ' 1 green shallot, finely chopped', ' 2 tablespoons grated fresh lemon rind', ' 50 wonton wrappers, cut in half crosswise', ' 4 green shallots, sliced, for garnish']","[' to make the wontons, preheat the oven to 180 c/gas 5 and lightly coat the wok with oil.', ' mix the chicken, garlic, green shallot and lemon rind and season to taste.', ' cook in a frying pan until the chicken is browned and cooked through.', ' take off the heat and place in a bowl to cool.', ' to make the filling, combine the stock cube, fish sauce, lemongrass, lime leaves, ginger, chilli, garlic, asparagus and stalks and roots.', ' place a heaped tablespoon of the chicken mixture in the centre of each wonton, moisten the edges and seal with a little water.', ' drop the wontons into the hot oil and fry for about 4 minutes until golden brown.', ' remove from the oil and drain on kitchen paper.', ' serve warm with the kaffir lime and shallot sauce.']"
"['bananas, eggs, all-purpose, baking powder, bananas, walnuts']","[' 1 c. mashed bananas', ' 2 eggs', ' 2/3 c. all purpose flour', ' 2 tsp. baking powder', ' 1 c. mashed bananas', ' 1 c. walnuts, chopped']","[' stir together the mashed bananas and eggs.', ' sift the flour and baking powder together.', ' add to the banana mixture, stirring just enough to combine.', ' stir in the mashed bananas and walnuts.', ' spoon the batter into a buttered 8 1/2 x 4 1/2 inch loaf pan.', ' bake in a preheated oven at 350 for 1 hour and 10 minutes or until a wooden pick inserted in the center comes out clean.', ' cool in the pan for 10 minutes.', ' turn out on a rack to cool completely.', ' yield', ' 1 loaf.']"
"['ground beef, onion, green pepper, clove garlic, tomatoes, tomato sauce, mushrooms, sugar, oregano, salt, basil, cheese, parmesan']","[' 1 1/2 lb. ground beef', ' 1 large onion, chopped', ' 1 green pepper, chopped', ' 1 clove garlic, minced', ' 1 large can tomatoes', ' 1 small can tomato sauce', ' 1 small can mushrooms', ' 2 tsp. sugar', ' 1/2 tsp. oregano', ' 1 tsp. salt', ' 1/4 tsp. basil', ' 8 oz. spaghetti, cooked', ' 1/2 c. cheese, grated', ' 1/2 c. parmesan, grated']","[' brown meat in skillet drain.', ' add onion, green pepper and garlic.', ' cook until tender.', ' stir in tomatoes, tomato sauce, mushrooms, sugar, oregano, salt and basil.', ' simmer 1 hour.', ' mix well.', ' pour 1/2 into 3 quart casserole.', ' top with 1/2 of spaghetti.', ' sprinkle 1/2 cheese over spaghetti.', ' pour remaining meat mixture over cheese.', ' sprinkle with parmesan.', ' bake in 350 oven about 15 minutes.', ' makes 6 servings.']"
"['butter, sugar, boiling water, yeast, water, flour, cold water, eggs, salt']","[' 1/2 c. butter', ' 3/4 c. sugar', ' 1 c. boiling water', ' 2 pkg. dry yeast', ' 1/2 c. lukewarm water', ' 5 c. plain flour', ' 1/2 c. cold water', ' 2 eggs, beaten', ' 1 tsp. salt']","[' mix together the sugar and butter.', ' add the boiling water and let cool.', ' put the yeast in the 1/2 cup lukewarm water.', ' combine the flour, cold water and eggs.', ' add to the yeast mixture.', ' add the salt.', ' put into a greased bowl.', ' cover and refrigerate overnight.', ' roll out and cut into desired shapes.', ' let rise and bake at 400 for 12 to 15 minutes.']"
"['pepper, bouquet garni, star anise, vegetable stock, carrot, red capsicum, celery, salt']","[' 2 lamb fillets, approximately 1kg', ' 1 pepper flakes to taste', ' bouquet garni 2 pieces of thyme, 4 parsley sprigs, 4 sprigs of sage, 2 bay leaves, 1 bay leaf, 1 dried chili', ' 1 whole star anise', ' 1/2 kg vegetable stock', ' 1 large carrot, sliced', ' 1/2 red capsicum, diced', ' 1 stalk celery, sliced', ' salt freshly ground black pepper']","[' trim the excess fat off the lamb fillets. place them in a large pan. add the pepper flakes, bouquet garni, bay leaves, star anise and vegetable stock. cover with a lid and simmer over a medium heat until the lamb is tender, about 40 minutes.', ' meanwhile, heat a small frying pan over high heat. add the carrot, capsicum, celery and the reserved fat. add a little salt and pepper.', ' add the sliced lamb to the pan and cook a further 2 minutes or until browned, turning the lamb frequently and reducing the heat to low if necessary. spoon into the plates and garnish with the vegetables.']"
"['beans, sugar, molasses, mustard, pepper, salt, salt pork']","[' 1 lb. dry navy beans', ' 1/3 c. sugar', ' 1/3 c. molasses', ' 1 tbsp. dry mustard', ' 1 tsp. pepper', ' 2 tsp. salt', ' 1/2 lb. salt pork or bacon']","[' rinse beans and add cold water to cover by 2 inches.', ' soak overnight in cold water and boil gently for 10 minutes.', ' drain.', ' add water and boil gently for 2 minutes.', ' drain.', ' put beans in bean pot.']"
"['sugar, margarine, milk, semi-sweet chocolate chips, marshmallows, vanilla']","[' 4 c. sugar', ' 1/2 lb. margarine', ' 1 12 oz. can evaporated milk', ' 1 12 oz. pkg. semi sweet chocolate chips', ' 1 10 1/2 oz. bag miniature marshmallows', ' 2 tsp. vanilla']","[' in a large saucepan, combine sugar, margarine and milk.', ' bring to boil over medium heat, stirring constantly.', ' let boil 5 minutes, stirring constantly.', ' remove from heat.', ' stir in chocolate chips until melted.', ' add marshmallows and vanilla.', ' stir until marshmallows are melted.', ' pour into a greased 13 x 9 inch pan.', ' cool at room temperature.', ' cut into 1 inch squares.', ' yield', ' 3 pounds.']"
"['mint sprigs, fluid ounces simple syrup, crushed ice, Bourbon']","[' 4 mint sprigs', ' 2 fluid ounces simple syrup', ' 2 cups crushed ice', ' 2 1/2 fluid ounces rhubarb flavored drink mix recommended rhubarb and rye', ' 1 fluid ounce guinness infused vodka', ' 1 fluid ounce gin', ' 1 fluid ounce gin', ' 1/4 fluid ounce dark rum']","[' put the mint sprigs, simple syrup and ice in a blender.', ' process until blended and foamy.', ' add grenadine, vodka and gin.', ' blend until completely blended, adding a splash of gin if necessary to mix.', ' pour into a chilled collins glass.']"
"['eggs, sugar, cinnamon, cloves, pumpkin, salt, ginger, milk, pastry shell']","[' 2 eggs', ' 1 c. sugar', ' 1 tsp. cinnamon', ' 1/2 tsp. cloves', ' 1 can pumpkin 1 lb. 2 c.', ' 1/2 tsp. salt', ' 1/2 tsp. ginger', ' 1 13 oz. can evaporated milk', ' 1 9 inch pastry shell']","[' combine eggs, sugar, salt, spices and pumpkin.', ' stir in milk until mixed.', ' pour into pastry shell.', ' bake at 450 for 15 minutes.', ' reduce heat to 350 and bake 30 minutes.', ' pie is done when knife inserted in center comes out clean.']"
"['White rice, Carrot, Onion, Green peppers, granules, Salt, Onion, Ground meat, Water, curry roux, Egg, Milk, Heavy cream']","[' 1 packet cooked white rice', ' 10 grams carrot', ' 1 medium onion', ' 2 green peppers', ' 1 tsp soup stock granules', ' 1 salt and pepper', ' 1 small slice sliced onion', ' 200 grams ground meat beef, pork, or whatever', ' 300 ml water', ' 3 tbsp maggi curry roux', ' 1 medium egg', ' 100 ml milk', ' 1 heavy cream']","[' boil water and add the rice, carrot, onion, green pepper, soup stock granules, salt, and pepper.', ' bring it to a boil again, cover with a lid, and simmer for 15 minutes.', ' add the meat to step 2, and mix until browned.', ' add the curry roux, and cook for about 1 minute, and add the water.', ' bring it to a boil again, and add the egg and milk.', ' once the egg is cooked, add the cream and it s done.', ' it s also delicious without cream.', ' i made this with a pound of curry roux.']"
"['potatoes, tomato paste, vegetable oil, oregano, fennel seeds, paprika, basil, garlic, salt, sugar, parmesan cheese']","[' 4 potatoes medium', ' 3 tablespoons tomato paste', ' 2 tablespoons vegetable oil', ' 1 teaspoon dried oregano', ' 2 teaspoons fennel seeds', ' 1 teaspoon paprika', ' 1 teaspoon dried basil', ' 1 teaspoon garlic powder', ' 1/4 teaspoon salt', ' 2 teaspoons sugar', ' 8 rib eye steaks about 2 to 3 lbs.', ' 1/2 cup parmesan cheese']","[' preheat oven to 450 degrees f.', ' cut potatoes in half lengthwise, then crosswise into thin slices about 1/8 inch thick. in a large bowl, toss potato slices with tomato paste, oil, oregano, fennel seeds, paprika, basil, garlic powder, salt and sugar until well coated.', ' place on a baking sheet that has been sprayed with cooking spray.', ' bake 20 to 25 minutes, until potatoes are tender, turning once, but still hold their shape.', ' top steaks with parmesan cheese, if desired.', ' continue baking until cheese is melted, about 5 to 10 minutes longer.', ' serve with grilled steaks on grilled steaks.']"
"['fruit punch, champagne, ginger ale']","[' 1 28 ounce can fruit punch', ' 1 bottle champagne', ' 1 quart ginger ale']","[' mix together.', ' pour into punch bowl and fill rest of with crushed ice.', ' serve.', ' delicious with a straw.', ' a few shots of orange.', ' a little ginger ale.', ' great as a champagne drink.']"
"['apples, cinnamon, nutmeg, sugar, milk, Bisquick, eggs, butter, nuts, brown sugar, raisins']","[' 4 c. peeled, diced apples', ' 1 tsp. cinnamon', ' 1/2 tsp. nutmeg', ' 1 c. sugar', ' 1 c. milk', ' 1/2 c. bisquick', ' 2 eggs', ' 2 tbsp. softened butter', ' 1/2 c. chopped nuts', ' 1/4 c. brown sugar', ' 1/4 c. raisins']","[' preheat oven to 350.', ' grease pie plate.', ' mix all ingredients until smooth.', ' pour into pie plate.', ' bake until a knife inserted halfway between center and edge comes out clean, 45 to 55 minutes.', ' cool 5 minutes.']"
"['almonds unblanched, flour, whole wheat flour, turbinado sugar, baking soda, eggs, vanilla']","[' 1 cup almonds unblanched', ' 1 cup flour, all purpose sifted', ' 1/2 cup whole wheat flour', ' 1/2 cup turbinado sugar', ' 1 teaspoon baking soda', ' 1 each eggs', ' 1 teaspoon vanilla extract']","[' heat oven to 350f 180c.', ' spread almonds on cookie sheet and toast until light brown.', ' transfer to bowl and coarsely chop.', ' sift together flours and baking soda and stir into almonds.', ' mix egg, vanilla and sugar until well blended.', ' beat until smooth.', ' with floured hands, roll level tablespoon of dough into a 15x10 inch rectangle on lightly floured surface.', ' cut dough lengthwise into 20 strips, 1 inch wide.', ' twist each strip, then place 3 inches apart on ungreased cookie sheet.', ' bake until crisp, 20 to 25 minutes.', ' cool and store in airtight container.']"
"['dried apricots, coconut, condensed milk, confectioners sugar']","[' 1 c. dried apricots', ' 1 1/2 c. coconut', ' 1/2 c. sweetened condensed milk', ' confectioners sugar']","[' combine first 3 ingredients and shape into small balls.', ' roll in confectioners sugar.', ' store in airtight container.', ' yield', ' approximately 3 dozen.']"
"['rice, frozen thawed, celery, onion, margarine, almonds, shredded cheese, mushroom soup, milk, almonds']","[' 1 1/2 c. minute rice', ' 2 pkg. frozen thawed, chopped broccoli', ' 1 c. chopped celery', ' 1 c. chopped onion', ' 1 stick margarine', ' 1 small pkg. sliced almonds', ' 2 c. shredded cheese sharp', ' 1 can mushroom soup', ' 2/3 c. milk', ' 1/2 c. sliced almonds']","[' saute celery and onion in margarine.', ' combine all other ingredients.', ' put in a large casserole.', ' cover with sliced almonds.', ' bake at 325 for about 45 minutes.']"
